genre,subgenre,tags,
childrens,,children's music,
childrens,toddlerandbabymusic,,
christmas/holiday,,christmas music,
drumnbass,,drum and bass,
easylistening,popvocals,,
electronic,electronicamainstream,electronic,electronica
electronic,technopop,technopop,synth-pop
folk,folksingersongwriter,singer-songwriter,
game,,video game music,vgm
hiphop,aussiehiphop,aussie hip hop,australian hip hop
hiphop,hiphoprap,,
hiphop,midwesternrap,midwestern hip hop,
hiphop,raphiphop,,
hiphop,southernrap,southern hip hop,
hiphop,ukhiphop,uk hip hop,
hiphop,westcoast,west coast hip hop,
industrial,technoindustrial,industrial techno,
jazz,bop,bebop,
jazz,jazzpiano,piano jazz,
jazz,standards,jazz standard,
latin,brasileira,brazilian,
latin,latindance,latin dance,
latin,rockenespanol,spanish rock,rock en español
latin,rocklatino,latin rock,
latin,salsaytropical,,
newage,newageworldmusic,,
newage,popularnewage,,
reggaeton,reggaetonyhiphop,,
rnb,,r&b,
rnb,classicrnb,,
rnb,contemporaryrnb,contemporary r&b,
rnb,rnbsoul,,
rnb,urbanac,,
rnb,urbancrossover,,
rock/pop,,,
rock/pop,adultcontemporary,adult contemporary,
rock/pop,alternative,,
rock/pop,alternativesingersongwriter,alternative singer-songwriter,
rock/pop,americantraditionalrock,american traditional rock,
rock/pop,christianalternative,christian alternative rock,
rock/pop,classicpopvocals,,
rock/pop,crossover,,
rock/pop,extrememetal,extreme metal,
rock/pop,frenchpop,french pop,
rock/pop,oldie,,
rock/pop,oldschoolpunk,punk,
rock/pop,popfolk,folk pop,
rock/pop,rocknroll,rock and roll,
rock/pop,rocksingersongwriter,rock singer-songwriter,
rock/pop,space,space rock,
rock/pop,vocalpop,vocal pop,
soundtrack,,soundtrack,
soundtrack,animation,,
soundtrack,filmsoundtrack,movie soundtrack,
soundtrack,ost,,
soundtrack,stagemusicals,,
spoken,books,audiobook,
world,,,
world,ethnic,,
world,nationalmusic,,
world,worldfusion,world-fusion,
